"name","CD45","CD14","CD19","TandNKcells"
"INF019-0_00_01",1.4e+07,3400000,1500000,8300000
"INF019-0_00_02",1.2e+07,3100000,1200000,7200000
"INF019-0_04_01",5500000,310000,1800000,3150000
"INF019-0_04_02",5e+06,245000,1750000,3050000
"INF019-0_09_01",6500000,245000,1400000,4400000
"INF019-0_09_02",6e+06,225000,1300000,4200000
"INF032-5_00_01",6400000,1400000,1300000,3600000
"INF032-5_00_02",5900000,1400000,1100000,3400000
"INF032-5_04_01",2100000,250000,5e+05,1150000
"INF032-5_04_02",2050000,255000,550000,1150000
"INF032-5_09_01",5500000,550000,1600000,3e+06
"INF032-5_09_02",4500000,455000,1250000,2550000
"INF180-9_00_01",9100000,2100000,1400000,5400000
"INF180-9_00_02",7600000,1900000,1100000,4400000
"INF180-9_04_01",2250000,190000,425000,1400000
"INF180-9_04_02",2150000,220000,380000,1350000
"INF180-9_09_01",950000,125000,115000,6e+05
"INF180-9_09_02",1700000,235000,230000,1150000
"ND006_05",8400000,1300000,1e+06,5900000
"ND050_05",6800000,1300000,4e+05,4700000
"NY068_05",1.6e+07,3400000,860000,1.1e+07
