"name","CD45","CD14","CD19","TandNKcells"
"INF013_00_01",7e+06,950000,550000,4950000
"INF013_00_02",6e+06,950000,6e+05,4350000
"INF013_00_03",6500000,1e+06,550000,4400000
"INF013_04_01",6e+06,1100000,9e+05,3850000
"INF013_04_02",7e+06,1200000,1050000,4500000
"INF013_09_01",3700000,230000,950000,2450000
"INF013_09_02",3e+06,265000,650000,2e+06
"INF023_00_01",7500000,2400000,1450000,3200000
"INF023_00_02",5500000,1800000,1300000,2300000
"INF023_00_03",6e+06,1700000,1150000,2650000
"INF023_04_01",8e+06,340000,3450000,3900000
"INF023_04_02",10500000,440000,4650000,5e+06
"INF023_09_01",4850000,245000,2050000,2250000
"INF023_09_02",4650000,275000,1950000,2300000
"INF030_00_01",4500000,420000,6e+05,2950000
"INF030_00_02",3600000,365000,5e+05,2350000
"INF030_00_03",4100000,320000,6e+05,2800000
"INF030_00_04",6500000,6e+05,950000,4850000
"INF030_04_01",3650000,340000,1050000,2200000
"INF030_04_02",4350000,415000,1200000,2650000
"INF030_09_01",6500000,350000,1400000,4650000
"INF030_09_02",8500000,650000,1650000,6e+06
"ND006_07",1.1e+07,1500000,1300000,8e+06
"ND050_07",8300000,1400000,570000,6e+06
"NY068_07",1.8e+07,3500000,9e+05,1.3e+07
