"name","CD45","CD14","CD19","TandNKcells"
"INF155-1_00_01",1e+07,2300000,1700000,6e+06
"INF155-1_00_02",1.4e+07,2700000,2100000,9200000
"INF155-1_04_01",3750000,315000,1050000,2200000
"INF155-1_04_02",3800000,290000,1050000,2200000
"INF155-1_09_01",3250000,270000,750000,1850000
"INF155-1_09_02",2550000,180000,6e+05,1500000
"INF158-4_00_01",1.1e+07,4e+06,2100000,4500000
"INF158-4_00_02",1.2e+07,4100000,2500000,5200000
"INF158-4_04_01",4850000,4e+05,1650000,2600000
"INF158-4_04_02",4600000,435000,1500000,2350000
"INF158-4_09_01",4250000,395000,1250000,2450000
"INF158-4_09_02",6e+06,410000,1700000,3750000
"INF159-5_00_01",6600000,2300000,580000,3600000
"INF159-5_00_02",7e+06,2700000,610000,3500000
"INF159-5_04_01",8e+06,550000,2050000,4900000
"INF159-5_04_02",8e+06,475000,2e+06,4950000
"INF159-5_09_01",2850000,290000,485000,2050000
"INF159-5_09_02",3650000,345000,6e+05,2600000
"ND006_06",9300000,1400000,1100000,6700000
"ND050_06",7800000,1400000,430000,5600000
"NY068_06",1.7e+07,3300000,740000,1.2e+07
