ExpsampleID,BiosampleID,ExperimentID,ReagentID,TreatmentID,filename,CompFiles,ExpsampleName,ExpsampleDescription,AdditionalResults,StudyID,protocolIDs,SubjectID,PlannedVisitID,Type,Subtype,BiosampleName,BiosampleDescription,StudyTimeCollected,StudyTimeCollectedUnit,StudyTimeToEvent,StudyTimeToEventSpecify,ExperimentName,ExperimentDescription,MeasurementTechnique
ILT_00-Reference Group-4BeadsUnstained (Beads),ND006,ILT_00,Unstained,ICS_Media,DTR_2023_ILT_00-Reference Group-4BeadsUnstained (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CCR4 BUV615 (Beads),ND006,ILT_00,BUV615 CD194,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CCR4 BUV615 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CCR6 BV786 (Beads),ND006,ILT_00,BV786 CD196,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CCR6 BV786 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CCR7 BV650 (Beads),ND006,ILT_00,BV650 CD197,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CCR7 BV650 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD107a APC-R700 (Beads),ND006,ILT_00,APC-R700 CD107a,ICS_PMA,DTR_2023_ILT_00-Reference Group-DR_CD107a APC-R700 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD127 BV421 (Beads),ND006,ILT_00,BV421 CD127,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD127 BV421 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD16 APC (Beads),ND006,ILT_00,APC CD16,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD16 APC (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD161 BV480 (Beads),ND006,ILT_00,BV480 CD161,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD161 BV480 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD25 PE-Cy5 (Beads),ND006,ILT_00,PE-Cy5 CD25,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD25 PE-Cy5 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD26 PerCP-Cy5.5 (Beads),ND006,ILT_00,PerCP-Cy5.5 CD26,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD26 PerCP-Cy5.5 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD27 APC-Fire 750 (Beads),ND006,ILT_00,APC-Fire 750 CD27,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD27 APC-Fire 750 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD3 Alexa Fluor 488 (Beads),ND006,ILT_00,Alexa Fluor 488 CD3,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD3 Alexa Fluor 488 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
ILT_00-Reference Group-DR_CD3 Alexa Fluor 647 (Beads),ND006,ILT_00,Alexa Fluor 647 CD3,ICS_Media,DTR_2023_ILT_00-Reference Group-DR_CD3 Alexa Fluor 647 (Beads).fcs,,,,,study_1716,protocol_1716_1,ND006,plannedvisit_1716_1,Other,Beads,,,0,Days,Not Specified,,ILT_00,,Spectral Flow Cytometry
