"ExpsampleID","BiosampleID","ExperimentID","ReagentID","TreatmentID","filename","CompFiles","ExpsampleName","ExpsampleDescription","AdditionalResults","StudyID","protocolIDs","SubjectID","PlannedVisitID","Type","Subtype","BiosampleName","BiosampleDescription","StudyTimeCollected","StudyTimeCollectedUnit","StudyTimeToEvent","StudyTimeToEventSpecify","ExperimentName","ExperimentDescription","MeasurementTechnique"
"ILT_15-INF071-Ctrl_Antibody","INF071","ILT_15","AntibodyPanel","ICS_Media","DTR_2023_ILT_15-INF071-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF071","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF071-Ctrl_Tetramer","INF071","ILT_15","TetramerPanel","ICS_Media","DTR_2023_ILT_15-INF071-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF071","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF071-Ctrl_Unstained","INF071","ILT_15","Unstained","ICS_Media","DTR_2023_ILT_15-INF071-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF071","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF071-PMA_Antibody","INF071","ILT_15","AntibodyPanel","ICS_PMA","DTR_2023_ILT_15-INF071-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF071","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF071-PMA_Unstained","INF071","ILT_15","Unstained","ICS_Media","DTR_2023_ILT_15-INF071-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF071","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF149-Ctrl_Antibody","INF149","ILT_15","AntibodyPanel","ICS_Media","DTR_2023_ILT_15-INF149-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF149","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF149-Ctrl_Tetramer","INF149","ILT_15","TetramerPanel","ICS_Media","DTR_2023_ILT_15-INF149-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF149","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF149-Ctrl_Unstained","INF149","ILT_15","Unstained","ICS_Media","DTR_2023_ILT_15-INF149-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF149","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF149-PMA_Antibody","INF149","ILT_15","AntibodyPanel","ICS_PMA","DTR_2023_ILT_15-INF149-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF149","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF149-PMA_Unstained","INF149","ILT_15","Unstained","ICS_Media","DTR_2023_ILT_15-INF149-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF149","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF179-Ctrl_Antibody","INF179","ILT_15","AntibodyPanel","ICS_Media","DTR_2023_ILT_15-INF179-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF179","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF179-Ctrl_Tetramer","INF179","ILT_15","TetramerPanel","ICS_Media","DTR_2023_ILT_15-INF179-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF179","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF179-Ctrl_Unstained","INF179","ILT_15","Unstained","ICS_Media","DTR_2023_ILT_15-INF179-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF179","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF179-PMA_Antibody","INF179","ILT_15","AntibodyPanel","ICS_PMA","DTR_2023_ILT_15-INF179-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF179","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF179-PMA_Unstained","INF179","ILT_15","Unstained","ICS_Media","DTR_2023_ILT_15-INF179-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF179","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
"ILT_15-INF187-Ctrl_Antibody","INF187","ILT_15","AntibodyPanel","ICS_Media","DTR_2023_ILT_15-INF187-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF187","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_15","","Spectral Flow Cytometry"
