"ExpsampleID","BiosampleID","ExperimentID","ReagentID","TreatmentID","filename","CompFiles","ExpsampleName","ExpsampleDescription","AdditionalResults","StudyID","protocolIDs","SubjectID","PlannedVisitID","Type","Subtype","BiosampleName","BiosampleDescription","StudyTimeCollected","StudyTimeCollectedUnit","StudyTimeToEvent","StudyTimeToEventSpecify","ExperimentName","ExperimentDescription","MeasurementTechnique"
"ILT_04-INF070-Ctrl_Antibody","INF070","ILT_04","AntibodyPanel","ICS_Media","DTR_2023_ILT_04-INF070-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF070","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF070-Ctrl_Tetramer","INF070","ILT_04","TetramerPanel","ICS_Media","DTR_2023_ILT_04-INF070-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF070","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF070-Ctrl_TetramerControl","INF070","ILT_04","TetramerControlPanel","ICS_Media","DTR_2023_ILT_04-INF070-Ctrl_TetramerControl.fcs","","","","","study_1716","protocol_1716_1","INF070","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF070-Ctrl_Unstained","INF070","ILT_04","Unstained","ICS_Media","DTR_2023_ILT_04-INF070-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF070","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF070-PMA_Antibody","INF070","ILT_04","AntibodyPanel","ICS_PMA","DTR_2023_ILT_04-INF070-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF070","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF070-PMA_Unstained","INF070","ILT_04","Unstained","ICS_Media","DTR_2023_ILT_04-INF070-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF070","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF191-Ctrl_Antibody","INF191","ILT_04","AntibodyPanel","ICS_Media","DTR_2023_ILT_04-INF191-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF191","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF191-Ctrl_Tetramer","INF191","ILT_04","TetramerPanel","ICS_Media","DTR_2023_ILT_04-INF191-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF191","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF191-Ctrl_Unstained","INF191","ILT_04","Unstained","ICS_Media","DTR_2023_ILT_04-INF191-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF191","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF191-PMA_Antibody","INF191","ILT_04","AntibodyPanel","ICS_PMA","DTR_2023_ILT_04-INF191-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF191","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF191-PMA_Unstained","INF191","ILT_04","Unstained","ICS_Media","DTR_2023_ILT_04-INF191-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF191","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF287-Ctrl_Antibody","INF287","ILT_04","AntibodyPanel","ICS_Media","DTR_2023_ILT_04-INF287-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF287","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF287-Ctrl_Tetramer","INF287","ILT_04","TetramerPanel","ICS_Media","DTR_2023_ILT_04-INF287-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF287","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF287-Ctrl_Unstained","INF287","ILT_04","Unstained","ICS_Media","DTR_2023_ILT_04-INF287-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF287","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF287-PMA_Antibody","INF287","ILT_04","AntibodyPanel","ICS_PMA","DTR_2023_ILT_04-INF287-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF287","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF287-PMA_Unstained","INF287","ILT_04","Unstained","ICS_Media","DTR_2023_ILT_04-INF287-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF287","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF374-Ctrl_Antibody","INF374","ILT_04","AntibodyPanel","ICS_Media","DTR_2023_ILT_04-INF374-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF374","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF374-Ctrl_Tetramer","INF374","ILT_04","TetramerPanel","ICS_Media","DTR_2023_ILT_04-INF374-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF374","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
"ILT_04-INF374-Ctrl_TetramerControl","INF374","ILT_04","TetramerControlPanel","ICS_Media","DTR_2023_ILT_04-INF374-Ctrl_TetramerControl.fcs","","","","","study_1716","protocol_1716_1","INF374","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_04","","Spectral Flow Cytometry"
