"name","CD45","CD14","CD19","TandNKcells"
"INF041_04_01",6e+06,7e+05,1350000,3500000
"INF041_04_02",6e+06,8e+05,1300000,3500000
"INF041_09_01",2650000,245000,750000,1450000
"INF041_09_02",2650000,250000,650000,1550000
"INF041_Cord",9400000,2e+06,690000,6500000
"INF105_04_01",6e+06,6e+05,1900000,3e+06
"INF105_04_02",6500000,6e+05,2e+06,3800000
"INF105_09_01",2800000,460000,7e+05,1400000
"INF105_09_02",3750000,950000,8e+05,1550000
"INF105_Cord",2.2e+07,5200000,2800000,1.4e+07
"INF187_04_01",2950000,230000,1100000,1300000
"INF187_04_02",3200000,215000,1100000,1500000
"INF187_09_01",2300000,150000,1100000,1e+06
"INF187_09_02",3600000,235000,1450000,1750000
"INF187_Cord",1.5e+07,4800000,1400000,8100000
"ND006_01",9900000,1300000,1300000,7e+06
"ND050_01",7400000,1300000,470000,5400000
"NY068_01",1.7e+07,2900000,810000,1.2e+07
