"name","CD45","CD14","CD19","TandNKcells"
"INF166_00_01",1e+07,2e+06,820000,6700000
"INF166_00_02",9900000,1500000,970000,6100000
"INF166_04_01",5e+06,315000,1550000,3e+06
"INF166_04_02",4400000,310000,1350000,2600000
"INF166_09_01",3850000,185000,950000,2700000
"INF166_09_02",4300000,140000,950000,3200000
"INF199_00_01",1.6e+07,3600000,820000,9800000
"INF199_00_02",1.1e+07,2700000,670000,6700000
"INF199_04_01",3650000,305000,850000,2350000
"INF199_04_02",4500000,430000,1e+06,2850000
"INF199_09_01",3250000,205000,750000,2050000
"INF199_09_02",2650000,225000,6e+05,1650000
"INF207_00_01",8700000,3600000,1e+06,3e+06
"INF207_00_02",1e+07,4200000,1500000,3500000
"INF207_04_01",3650000,325000,1050000,2200000
"INF207_04_02",4250000,455000,1250000,2400000
"INF207_09_01",3900000,5e+05,950000,2350000
"INF207_09_02",3400000,6e+05,8e+05,1900000
"ND006_08",8200000,1200000,1100000,5600000
"ND050_08",7200000,1300000,450000,5200000
"NY068_08",1.7e+07,3200000,870000,1.2e+07
